model,sampler,subnet,problem,c2st,std,c2st_median,c2st_mad,time,time_std
diffusion_cosine_v,ode-rk45-adaptive,time_mlp,sir,0.5397449910640717,0.0184217691564809,0.5311749875545502,0.0098499953746795,9.88617807328701,0.575892569881531
diffusion_edm_ve,sde-two_step-adaptive,time_mlp,sir,0.5503100037574769,0.0214672151242635,0.5442750155925751,0.014350026845932,7.409324221778661,0.3743785018604521
diffusion_edm_vp,sde-two_step-adaptive,time_mlp,sir,0.5296299874782562,0.0183764282852082,0.5232249796390533,0.0144499838352203,9.077597845438868,0.403271679376573
diffusion_edm_vp_ema,sde-two_step-adaptive,time_mlp,sir,0.534535002708435,0.0169020104127462,0.536175012588501,0.008100003004074,8.962989877909422,0.4233219074724328
flow_matching,ode-tsit5-adaptive,time_mlp,sir,0.5441850006580353,0.0218497896000447,0.540800005197525,0.0104999840259552,8.260842946730554,0.0105263719142714
flow_matching_edm,ode-tsit5-adaptive,time_mlp,sir,0.5372099995613098,0.0123908899535898,0.5347999930381775,0.0049249827861785,8.25871990751475,0.1686987314837837
stable_consistency_model,ode-euler,time_mlp,sir,0.5620700001716614,0.0140370850306498,0.5617749989032745,0.0123249888420104,0.6038254249840975,0.6296055368259083
consistency_model,ode-euler,time_mlp,slcp,0.6780099928379059,0.0885164410916719,0.6584499776363373,0.0616249740123748,0.4365400780923664,0.4422717384497271
cot_flow_matching,ode-rk45-adaptive,time_mlp,slcp,0.6354600071907044,0.0950011839786978,0.5861749947071075,0.0332749783992767,8.588853160198777,0.6727319787694124
diffusion_cosine_F,ode-tsit5-adaptive,time_mlp,slcp,0.6626200020313263,0.1023406974454271,0.6012000143527985,0.0372000038623809,9.93459577159956,0.0074651237430925
diffusion_cosine_noise,sde-two_step-adaptive,time_mlp,slcp,0.6431049942970276,0.0902460703086331,0.6092999875545502,0.0429250001907348,14.765906942356375,1.4549937903224373
diffusion_cosine_v,ode-rk45-adaptive,time_mlp,slcp,0.6472250044345855,0.0983595004146236,0.5911499857902527,0.0294749736785888,9.929248599428684,0.7603978643493147
diffusion_edm_ve,sde-two_step-adaptive,time_mlp,slcp,0.7324100017547608,0.0516540132835183,0.7211000025272369,0.0299749970436096,9.5377086462453,0.5460388328866461
diffusion_edm_vp,sde-two_step-adaptive,time_mlp,slcp,0.6381499946117402,0.0973570032952272,0.6069749891757965,0.0638999938964843,10.932772566191852,1.031871218189388
diffusion_edm_vp_ema,sde-two_step-adaptive,time_mlp,slcp,0.6275650024414062,0.0729731975449775,0.6015500128269196,0.0342000126838684,12.899504341743889,1.6707464132247103
flow_matching,ode-tsit5-adaptive,time_mlp,slcp,0.6387649953365326,0.0993677620941175,0.5785999894142151,0.0197249948978424,8.216036455333233,0.0500456726107927
flow_matching_edm,ode-tsit5-adaptive,time_mlp,slcp,0.6217200040817261,0.0861959635116941,0.5742250084877014,0.0287249982357025,8.369605302624404,0.0138410011379027
stable_consistency_model,ode-euler,time_mlp,slcp,0.6885499954223633,0.0938325943361054,0.6345499753952026,0.0165500044822692,0.5865890677087009,0.5917634221355453
consistency_model,ode-euler,time_mlp,slcp_distractors,0.6612900018692016,0.0737758118279389,0.6269749999046326,0.0413249731063842,0.4238943988457322,0.432782034301712
cot_flow_matching,ode-rk45-adaptive,time_mlp,slcp_distractors,0.6349200069904327,0.0892407711904215,0.5782000124454498,0.0293000042438507,8.351897354144603,0.6440346726531777
diffusion_cosine_F,ode-tsit5-adaptive,time_mlp,slcp_distractors,0.6627799928188324,0.0931471113517112,0.6114749908447266,0.0351249873638153,10.17321792030707,0.0262064209049701
diffusion_cosine_noise,sde-two_step-adaptive,time_mlp,slcp_distractors,0.6514900028705597,0.1068399256454995,0.6132250130176544,0.0525250136852264,13.335066974256188,0.9848325870527964
diffusion_cosine_v,ode-rk45-adaptive,time_mlp,slcp_distractors,0.6366700053215026,0.0910306991933375,0.5822000205516815,0.0191750228404998,9.830295107606798,0.6647800152433516
diffusion_edm_ve,sde-two_step-adaptive,time_mlp,slcp_distractors,0.7244000017642975,0.0317951942596253,0.7180000245571136,0.0243500173091888,9.001306257769466,0.7269000404031493
diffusion_edm_vp,sde-two_step-adaptive,time_mlp,slcp_distractors,0.6419849932193756,0.0833272577912283,0.6325249969959259,0.0828750133514404,11.176769902184606,1.1202218991460542
